host    logname time    method  url     response        bytes
edams.ksc.nasa.gov       -       807249611       GET     /index.html     200     1024
130.110.74.81   -       807249612       GET     /faq.html       200     2048
www-relay.pa-x.dec.com   -       807249613       GET     /homepage       404     0
derec   -       807249614       GET     /about  200     512
163.205.16.75   -       807249615       GET     /contact        200     1024
piweba3y.prodigy.com     -       807249616       GET     /services       200     2048
poppy.hensa.ac.uk        -       807249617       GET     /help   200     1024
163.206.89.4    -       807249618       GET     /products       200     1024
gw1.att.com     -       807249619       GET     /support        200     512
arc.dental.upenn.edu     -       807249620       GET     /support        200     512
131.110.62.74   -       807249621       GET     /faq    200     512
edams.ksc.nasa.gov       -       807249611       GET     /index.html     200     1024
130.110.74.81   -       807249612       GET     /faq.html       200     2048
www-relay.pa-x.dec.com   -       807249613       GET     /homepage       404     0
derec   -       807249614       GET     /about  200     512
163.205.16.75   -       807249615       GET     /contact        200     1024
piweba3y.prodigy.com     -       807249616       GET     /services       200     2048
poppy.hensa.ac.uk        -       807249617       GET     /help   200     1024
163.206.89.4    -       807249618       GET     /products       200     1024
gw1.att.com     -       807249619       GET     /support        200     512
arc.dental.upenn.edu     -       807249620       GET     /support        200     512
131.110.62.74   -       807249621       GET     /faq    200     512
edams.ksc.nasa.gov       -       807249611       GET     /index.html     200     1024
130.110.74.81   -       807249612       GET     /faq.html       200     2048
www-relay.pa-x.dec.com   -       807249613       GET     /homepage       404     0
derec   -       807249614       GET     /about  200     512
163.205.16.75   -       807249615       GET     /contact        200     1024
piweba3y.prodigy.com     -       807249616       GET     /services       200     2048
poppy.hensa.ac.uk        -       807249617       GET     /help   200     1024
163.206.89.4    -       807249618       GET     /products       200     1024
